dataset,model,seed,rate,accuracy,recall_g0,recall_g1,masking_gap,exploratory
COMPAS,LR,7,0.05,0.674874,0.758491,0.454545,-0.008817,False
COMPAS,LR,7,0.1,0.670455,0.758491,0.454545,-0.013236,False
COMPAS,LR,7,0.2,0.652778,0.735849,0.454545,-0.008271,False
COMPAS,RF,7,0.0,0.611742,0.633962,0.481061,0.0,False
COMPAS,RF,7,0.05,0.601641,0.639623,0.443182,-0.015761,False
COMPAS,RF,7,0.1,0.607323,0.649057,0.465909,-0.019514,False
COMPAS,RF,7,0.2,0.606061,0.645283,0.496212,-0.017003,False
COMPAS,XGB,7,0.0,0.671086,0.684906,0.503788,0.0,False
COMPAS,XGB,7,0.05,0.659722,0.698113,0.465909,-0.024571,False
COMPAS,XGB,7,0.1,0.654672,0.698113,0.458333,-0.029622,False
COMPAS,XGB,7,0.2,0.640152,0.690566,0.477273,-0.036595,False
COMPAS,LGB,7,0.0,0.667298,0.69434,0.44697,0.0,False
COMPAS,LGB,7,0.05,0.655303,0.696226,0.42803,-0.013882,False
COMPAS,LGB,7,0.1,0.655934,0.69434,0.42803,-0.011364,False
COMPAS,LGB,7,0.2,0.643308,0.684906,0.435606,-0.014556,False
COMPAS,MLP,7,0.0,0.657197,0.796226,0.503788,0.0,False
COMPAS,MLP,7,0.05,0.655303,0.8,0.515152,-0.005668,False
COMPAS,MLP,7,0.1,0.664773,0.8,0.534091,0.003802,False
COMPAS,MLP,7,0.2,0.651515,0.783019,0.537879,0.007526,False
COMPAS,LR,13,0.0,0.683081,0.776735,0.509579,0.0,False
COMPAS,LR,13,0.05,0.678662,0.765478,0.524904,0.006838,False
COMPAS,LR,13,0.1,0.681818,0.769231,0.54023,0.006242,False
COMPAS,LR,13,0.2,0.669823,0.754221,0.536398,0.009256,False
COMPAS,RF,13,0.0,0.636364,0.673546,0.536398,0.0,False
COMPAS,RF,13,0.05,0.633838,0.67167,0.555556,-0.000649,False
COMPAS,RF,13,0.1,0.623737,0.664165,0.544061,-0.003245,False
COMPAS,RF,13,0.2,0.628788,0.677298,0.56705,-0.011328,False
COMPAS,XGB,13,0.0,0.657197,0.688555,0.532567,0.0,False
COMPAS,XGB,13,0.05,0.647727,0.669794,0.547893,0.009292,False
COMPAS,XGB,13,0.1,0.63952,0.666041,0.547893,0.004837,False
COMPAS,XGB,13,0.2,0.633838,0.679174,0.551724,-0.013978,False
COMPAS,LGB,13,0.0,0.662247,0.699812,0.509579,0.0,False
COMPAS,LGB,13,0.05,0.657197,0.692308,0.517241,0.002454,False
COMPAS,LGB,13,0.1,0.647727,0.690432,0.517241,-0.005139,False
COMPAS,LGB,13,0.2,0.646465,0.686679,0.532567,-0.00265,False
COMPAS,MLP,13,0.0,0.678662,0.641651,0.409962,0.0,False
COMPAS,MLP,13,0.05,0.674242,0.622889,0.429119,0.014343,False
COMPAS,MLP,13,0.1,0.668561,0.609756,0.429119,0.021794,False
COMPAS,MLP,13,0.2,0.659722,0.585366,0.409962,0.037346,False
COMPAS,LR,21,0.0,0.678662,0.742481,0.507634,0.0,False
COMPAS,LR,21,0.05,0.684343,0.74812,0.515267,4.3e-05,False
COMPAS,LR,21,0.1,0.67298,0.731203,0.522901,0.005596,False
